Experiment,Subject,Cue,Target,Response,Manual_Scored,Trial_Num
JOL B,114,Strong,Accident,Wind,0,2
JOL B,114,Star,Actress,Sky,0,3
JOL B,114,Valley,Add,King,0,4
JOL B,114,Plane,Aircraft,Sky,0,5
JOL B,114,Number,Amount,Money,0,6
JOL B,114,Due,Assignment,Assaigment,1,7
JOL B,114,Clothes,Attire,Dress,0,8
JOL B,114,Law,Attorney,Obligations,0,9
JOL B,114,Gone,Away,Away,1,10
JOL B,114,Delinquent,Bad,Bad,1,11
JOL B,114,Pop,Balloon,Jazz,0,12
JOL B,114,Money,Banker,Bank,0,14
JOL B,114,Grill,Bar,Meat,0,15
JOL B,114,Honey,Bee,Bee,1,16
JOL B,114,Soon,Belt,Wait,0,17
JOL B,114,Swan,Bird,Bird,1,18
JOL B,114,Fire,Blaze,Furry,0,19
JOL B,114,Wrist,Bracelet,Hand,0,20
JOL B,114,Fight,Brawl,Fued,0,21
JOL B,114,Glass,Breakable,Break,0,22
JOL B,114,Artery,Bronze,Hear,0,23
JOL B,114,Death,Business,End,0,24
JOL B,114,Driver,Car,Car,1,25
JOL B,114,Happy,Car,Life,0,26
JOL B,114,Element,Carbon,Science,0,27
JOL B,114,Credit,Card,Card,1,28
JOL B,114,Dark,Cave,Room,0,29
JOL B,114,Wine,Cheese,Taste,0,30
JOL B,114,Baby,Child,Child,1,31
JOL B,114,Hot,Chili,Chili,1,33
JOL B,114,Work,Chore,Wage,0,34
JOL B,114,Hygiene,Clean,Clean,1,35
JOL B,114,Stretch,Cloth,Bed,0,37
JOL B,114,Pusher,Clutter,Pull,0,39
JOL B,114,Dead,Coffin,Deaf,0,40
JOL B,114,Bitter,Cold,Bad,0,41
JOL B,114,Chill,Cold,Col,1,42
JOL B,114,Phone,Communication,Call,0,43
JOL B,114,Herd,Cow,Animals,0,44
JOL B,114,Chop,Cut,Cut,1,45
JOL B,114,Choice,Decision,Decision,1,46
JOL B,114,Architecture,Design,Building,0,47
JOL B,114,Math,Division,Probelm,0,48
JOL B,114,Furry,Dog,Fire,0,49
JOL B,114,Paw,Dog,Dog,1,50
JOL B,114,Mule,Donkey,Donkey,1,51
JOL B,114,Water,Drink,Tank,0,52
JOL B,114,Sleep,Drowsy,Night,0,53
JOL B,114,Dine,Eat,Restaurant,0,54
JOL B,114,Maze,Election,Clue,0,55
JOL B,114,Adjourn,End,Love,0,56
JOL B,114,Begin,End,End,1,57
JOL B,114,Full,Enough,Charge,0,58
JOL B,114,Rights,Equal,Freedom,0,59
JOL B,114,Hunger,Famine,Faimne,1,60
JOL B,114,Great,Fantastic,Good,0,61
JOL B,114,Best,Favorite,Place,0,62
JOL B,114,Feud,Fight,Fight,1,64
JOL B,114,Tuna,Fish,Fish,1,65
JOL B,114,Turn,Flip,Slide,0,66
JOL B,114,Discover,Floor,Secret,0,67
JOL B,114,Orchid,Flower,Animal,0,68
JOL B,114,Shoe,Foot,Lace,0,69
JOL B,114,Past,Future,Future,1,70
JOL B,114,Clue,Game,Key,0,71
JOL B,114,Earth,Ground,Ground,1,72
JOL B,114,Height,Growth,Growth,1,73
JOL B,114,Chisel,Hammer,Whisle,0,74
JOL B,114,Fix,Hand,Device,0,75
JOL B,114,Own,Have,Have,1,77
JOL B,114,Scalp,Head,Head,1,78
JOL B,114,Park,Hungry,Green,0,79
JOL B,114,Mason,Jar,Home,0,80
JOL B,114,Trial,Jury,Jury,1,82
JOL B,114,Key,Latch,Door,0,83
JOL B,114,Baseball,League,Game,0,84
JOL B,114,Truth,Lie,Honest,0,85
JOL B,114,Art,Lion,Music,0,86
JOL B,114,Kidney,Liver,Liver,1,87
JOL B,114,Alone,Lonely,Away,0,88
JOL B,114,Extension,Long,For,0,89
JOL B,114,Affection,Love,Love,1,90
JOL B,114,Justice,Maroon,Crime,0,91
JOL B,114,Wage,Money,Money,1,92
JOL B,114,Detective,Mystery,Investigate,0,94
JOL B,114,Sleep,Nap,Night,0,95
JOL B,114,Editor,News,Writer,0,96
JOL B,114,Loud,Noise,Sound,0,97
JOL B,114,Way,Out,Out,1,100
JOL B,114,Cat,Panther,Food,0,101
JOL B,114,Document,Paper,File,0,102
JOL B,114,Bird,Penguin,Fly,0,103
JOL B,114,Plane,Pilot,Pilot,1,104
JOL B,114,Cactus,Plant,Desert,0,105
JOL B,114,Root,Plant,Tree,0,106
JOL B,114,Machine,Position,Factory,0,107
JOL B,114,Ball,Racket,Game,0,108
JOL B,114,Cherry,Red,Pie,0,109
JOL B,114,Rod,Reel,Hit,0,110
JOL B,114,Even,Revenge,Both,0,111
JOL B,114,Sugar,Riddle,Desert,0,112
JOL B,114,Geology,Rock,Roc,1,113
JOL B,114,Circle,Round,Round,1,114
JOL B,114,Dietary,Sacking,Supply,0,115
JOL B,114,Lettuce,Salad,Salad,1,116
JOL B,114,Fish,Sardine,Net,0,117
JOL B,114,Shears,Scissors,Sword,0,119
JOL B,114,Safety,Seatbelt,Place,0,120
JOL B,114,Take,Seize,Away,0,121
JOL B,114,Razor,Shave,Shave,1,122
JOL B,114,Hide,Sick,Seek,0,123
JOL B,114,Debate,Sight,Discussion,0,124
JOL B,114,Drink,Sip,Sip,1,126
JOL B,114,Location,Site,Site,1,127
JOL B,114,Incense,Smell,Amora,0,128
JOL B,114,Pop,Soda,Soda,1,130
JOL B,114,Give,Steak,Take,0,131
JOL B,114,Smell,Stench,Scent,0,132
JOL B,114,Hornet,Sting,Horn,0,133
JOL B,114,Digestion,Stomach,Stomach,1,134
JOL B,114,Fruit,Strawberry,Market,0,135
JOL B,114,Discussion,Talk,Seech,0,136
JOL B,114,Sun,Tan,Light,0,137
JOL B,114,Tantrum,Temper,Element,0,138
JOL B,114,Thread,Thimble,Tie,0,139
JOL B,114,Flea,Tick,Run,0,140
JOL B,114,Shoelace,Tie,Tie,1,141
JOL B,114,Bathroom,Toilet,Toilet,1,143
JOL B,114,Litter,Trash,Tras,1,144
JOL B,114,Honest,Truthful,Hopefully,0,145
JOL B,114,Allow,Tuck,Let,0,146
JOL B,114,King,Vase,Kingdom,0,147
JOL B,114,Bad,Villain,Crime,0,149
JOL B,114,Revolution,War,War,1,150
JOL B,114,Bug,Wasp,Fly,0,151
JOL B,114,Dump,Waste,Litter,0,152
JOL B,114,Bridge,Water,Water,1,153
JOL B,114,Candle,Wax,Light,0,154
JOL B,114,Dry,Wet,Clean,0,155
JOL B,114,Blow,Wind,Hit,0,156
JOL B,114,Car,Windshield,Door,0,157
JOL B,114,Lift,Woman,Girl,0,158
JOL B,114,Sentence,Word,Clause,0,159
JOL B,114,Cash,Would,Wage,0,160
JOL B,118,Strong,Accident,weak,0,2
JOL B,118,Star,Actress,gaze,0,3
JOL B,118,Valley,Add,mountains,0,4
JOL B,118,Plane,Aircraft,air,0,5
JOL B,118,Number,Amount,count,0,6
JOL B,118,Due,Assignment,assignment,1,7
JOL B,118,Clothes,Attire,shoes,0,8
JOL B,118,Law,Attorney,justice,0,9
JOL B,118,Gone,Away,left,0,10
JOL B,118,Delinquent,Bad,bad,1,11
JOL B,118,Pop,Balloon,tart,0,12
JOL B,118,Money,Banker,bank,0,14
JOL B,118,Grill,Bar,barbeque,0,15
JOL B,118,Honey,Bee,bee,1,16
JOL B,118,Soon,Belt,later,0,17
JOL B,118,Swan,Bird,bird,1,18
JOL B,118,Fire,Blaze,water,0,19
JOL B,118,Wrist,Bracelet,hand,0,20
JOL B,118,Fight,Brawl,brawl,1,21
JOL B,118,Glass,Breakable,steel,0,22
JOL B,118,Artery,Bronze,lion,0,23
JOL B,118,Death,Business,dead,0,24
JOL B,118,Driver,Car,car,1,25
JOL B,118,Happy,Car,sad,0,26
JOL B,118,Element,Carbon,carbon,1,27
JOL B,118,Credit,Card,card,1,28
JOL B,118,Dark,Cave,light,0,29
JOL B,118,Wine,Cheese,cheese,1,30
JOL B,118,Baby,Child,cry,0,31
JOL B,118,Hot,Chili,chilli,1,33
JOL B,118,Work,Chore,hard,0,34
JOL B,118,Hygiene,Clean,clean,1,35
JOL B,118,Stretch,Cloth,long,0,37
JOL B,118,Pusher,Clutter,,0,39
JOL B,118,Dead,Coffin,alive,0,40
JOL B,118,Bitter,Cold,sweet,0,41
JOL B,118,Chill,Cold,cold,1,42
JOL B,118,Phone,Communication,ring,0,43
JOL B,118,Herd,Cow,sheep,0,44
JOL B,118,Chop,Cut,cut,1,45
JOL B,118,Choice,Decision,decision,1,46
JOL B,118,Architecture,Design,building,0,47
JOL B,118,Math,Division,division,1,48
JOL B,118,Furry,Dog,dog,1,49
JOL B,118,Paw,Dog,dog,1,50
JOL B,118,Mule,Donkey,donkey,1,51
JOL B,118,Water,Drink,water,0,52
JOL B,118,Sleep,Drowsy,nap,0,53
JOL B,118,Dine,Eat,eat,1,54
JOL B,118,Maze,Election,mouse,0,55
JOL B,118,Adjourn,End,,0,56
JOL B,118,Begin,End,end,1,57
JOL B,118,Full,Enough,satisfied,0,58
JOL B,118,Rights,Equal,politics,0,59
JOL B,118,Hunger,Famine,famine,1,60
JOL B,118,Great,Fantastic,good,0,61
JOL B,118,Best,Favorite,favorite,1,62
JOL B,118,Feud,Fight,fight,1,64
JOL B,118,Tuna,Fish,fsh,1,65
JOL B,118,Turn,Flip,twist,0,66
JOL B,118,Discover,Floor,ground,0,67
JOL B,118,Orchid,Flower,flower,1,68
JOL B,118,Shoe,Foot,foot,1,69
JOL B,118,Past,Future,future,1,70
JOL B,118,Clue,Game,game,1,71
JOL B,118,Earth,Ground,round,0,72
JOL B,118,Height,Growth,weight,0,73
JOL B,118,Chisel,Hammer,ice,0,74
JOL B,118,Fix,Hand,reapir,0,75
JOL B,118,Own,Have,,0,77
JOL B,118,Scalp,Head,head,1,78
JOL B,118,Park,Hungry,outside,0,79
JOL B,118,Mason,Jar,jar,1,80
JOL B,118,Trial,Jury,error,0,82
JOL B,118,Key,Latch,latch,1,83
JOL B,118,Baseball,League,league,1,84
JOL B,118,Truth,Lie,lie,1,85
JOL B,118,Art,Lion,lion,1,86
JOL B,118,Kidney,Liver,liver,1,87
JOL B,118,Alone,Lonely,together,0,88
JOL B,118,Extension,Long,long,1,89
JOL B,118,Affection,Love,love,1,90
JOL B,118,Justice,Maroon,liberty,0,91
JOL B,118,Wage,Money,money,1,92
JOL B,118,Detective,Mystery,spy,0,94
JOL B,118,Sleep,Nap,nap,1,95
JOL B,118,Editor,News,paper,0,96
JOL B,118,Loud,Noise,noise,1,97
JOL B,118,Way,Out,go,0,100
JOL B,118,Cat,Panther,pet,0,101
JOL B,118,Document,Paper,paper,1,102
JOL B,118,Bird,Penguin,penguin,1,103
JOL B,118,Plane,Pilot,air,0,104
JOL B,118,Cactus,Plant,plant,1,105
JOL B,118,Root,Plant,carrot,0,106
JOL B,118,Machine,Position,steel,0,107
JOL B,118,Ball,Racket,bat,0,108
JOL B,118,Cherry,Red,red,1,109
JOL B,118,Rod,Reel,reel,1,110
JOL B,118,Even,Revenge,Odd,0,111
JOL B,118,Sugar,Riddle,sweet,0,112
JOL B,118,Geology,Rock,earth,0,113
JOL B,118,Circle,Round,round,1,114
JOL B,118,Dietary,Sacking,sweets,0,115
JOL B,118,Lettuce,Salad,salad,1,116
JOL B,118,Fish,Sardine,rod,0,117
JOL B,118,Shears,Scissors,scissors,1,119
JOL B,118,Safety,Seatbelt,belt,0,120
JOL B,118,Take,Seize,give,0,121
JOL B,118,Razor,Shave,blade,0,122
JOL B,118,Hide,Sick,seek,0,123
JOL B,118,Debate,Sight,politics,0,124
JOL B,118,Drink,Sip,eat,0,126
JOL B,118,Location,Site,area,0,127
JOL B,118,Incense,Smell,smell,1,128
JOL B,118,Pop,Soda,tart,0,130
JOL B,118,Give,Steak,take,0,131
JOL B,118,Smell,Stench,stink,0,132
JOL B,118,Hornet,Sting,wasp,0,133
JOL B,118,Digestion,Stomach,stomach,1,134
JOL B,118,Fruit,Strawberry,apple,0,135
JOL B,118,Discussion,Talk,talk,1,136
JOL B,118,Sun,Tan,light,0,137
JOL B,118,Tantrum,Temper,angry,0,138
JOL B,118,Thread,Thimble,thimble,1,139
JOL B,118,Flea,Tick,tick,1,140
JOL B,118,Shoelace,Tie,shoe,0,141
JOL B,118,Bathroom,Toilet,pee,0,143
JOL B,118,Litter,Trash,trash,1,144
JOL B,118,Honest,Truthful,lie,0,145
JOL B,118,Allow,Tuck,deny,0,146
JOL B,118,King,Vase,queen,0,147
JOL B,118,Bad,Villain,good,0,149
JOL B,118,Revolution,War,war,1,150
JOL B,118,Bug,Wasp,roach,0,151
JOL B,118,Dump,Waste,trash,0,152
JOL B,118,Bridge,Water,water,1,153
JOL B,118,Candle,Wax,wax,1,154
JOL B,118,Dry,Wet,wet,1,155
JOL B,118,Blow,Wind,bubbles,0,156
JOL B,118,Car,Windshield,steer,0,157
JOL B,118,Lift,Woman,push,0,158
JOL B,118,Sentence,Word,paper,0,159
JOL B,118,Cash,Would,money,0,160
JOL B,122,Strong,Accident,idk,0,2
JOL B,122,Star,Actress,idk,0,3
JOL B,122,Valley,Add,idk,0,4
JOL B,122,Plane,Aircraft,aircraft,1,5
JOL B,122,Number,Amount,rating,0,6
JOL B,122,Due,Assignment,assignment,1,7
JOL B,122,Clothes,Attire,idk,0,8
JOL B,122,Law,Attorney,attorney,1,9
JOL B,122,Gone,Away,away,1,10
JOL B,122,Delinquent,Bad,bad,1,11
JOL B,122,Pop,Balloon,balloon,1,12
JOL B,122,Money,Banker,banker,1,14
JOL B,122,Grill,Bar,bar,1,15
JOL B,122,Honey,Bee,bee,1,16
JOL B,122,Soon,Belt,idk,0,17
JOL B,122,Swan,Bird,goose,0,18
JOL B,122,Fire,Blaze,blaze,1,19
JOL B,122,Wrist,Bracelet,bracelet,1,20
JOL B,122,Fight,Brawl,fued,0,21
JOL B,122,Glass,Breakable,breakable,1,22
JOL B,122,Artery,Bronze,liver,0,23
JOL B,122,Death,Business,life,0,24
JOL B,122,Driver,Car,vehicle,0,25
JOL B,122,Happy,Car,car,1,26
JOL B,122,Element,Carbon,carbon,1,27
JOL B,122,Credit,Card,card,1,28
JOL B,122,Dark,Cave,cave,1,29
JOL B,122,Wine,Cheese,cheese,1,30
JOL B,122,Baby,Child,child,1,31
JOL B,122,Hot,Chili,chili,1,33
JOL B,122,Work,Chore,idk,0,34
JOL B,122,Hygiene,Clean,clean,1,35
JOL B,122,Stretch,Cloth,cloth,1,37
JOL B,122,Pusher,Clutter,idk,0,39
JOL B,122,Dead,Coffin,coffin,1,40
JOL B,122,Bitter,Cold,cold,1,41
JOL B,122,Chill,Cold,cold,1,42
JOL B,122,Phone,Communication,number,0,43
JOL B,122,Herd,Cow,cow,1,44
JOL B,122,Chop,Cut,cut,1,45
