"item_nr","A1","A2","match_null"
1,"chlorination","ideological","A2"
2,"bendy","financial","A2"
3,"topography","editing","A2"
4,"enquiry","buzzing","A1"
5,"draconian","statistic","A1"
6,"speedball","stopwatch","A1"
7,"valueless","did","A1"
8,"grievous","numerically","A1"
9,"melatonin","bloated","A2"
10,"dose","domain","A2"
11,"dynastically","steadily","A1"
12,"staffer","withdraw","A2"
13,"institutionalism","beside","A1"
14,"dollhouse","doodle","A2"
15,"bolero","membrane","A2"
16,"soulless","unofficially","A1"
17,"uncurled","vibration","A1"
18,"giveaway","permitted","A2"
19,"origination","sleek","A1"
20,"iconology","ignorance","A2"
